rand,Mod 64,Mod 32,Mod 16,Mod 8
244,52,20,4,4
441,57,25,9,1
388,4,4,4,4
809,41,9,9,1
796,28,28,12,4
738,34,2,2,2
116,52,20,4,4
769,1,1,1,1
589,13,13,13,5
223,31,31,15,7
485,37,5,5,5
992,32,0,0,0
521,9,9,9,1
769,1,1,1,1
140,12,12,12,4
149,21,21,5,5
658,18,18,2,2
3,3,3,3,3
597,21,21,5,5
343,23,23,7,7
9,9,9,9,1
200,8,8,8,0
576,0,0,0,0
310,54,22,6,6
703,63,31,15,7
153,25,25,9,1
717,13,13,13,5
860,28,28,12,4
486,38,6,6,6
546,34,2,2,2
839,7,7,7,7
596,20,20,4,4
513,1,1,1,1
601,25,25,9,1
24,24,24,8,0
602,26,26,10,2
864,32,0,0,0
598,22,22,6,6
687,47,15,15,7
864,32,0,0,0
231,39,7,7,7
754,50,18,2,2
826,58,26,10,2
590,14,14,14,6
858,26,26,10,2
775,7,7,7,7
284,28,28,12,4
544,32,0,0,0
807,39,7,7,7
529,17,17,1,1
890,58,26,10,2
442,58,26,10,2
306,50,18,2,2
906,10,10,10,2
591,15,15,15,7
546,34,2,2,2
335,15,15,15,7
37,37,5,5,5
857,25,25,9,1
498,50,18,2,2
387,3,3,3,3
496,48,16,0,0
108,44,12,12,4
662,22,22,6,6
403,19,19,3,3
73,9,9,9,1
68,4,4,4,4
743,39,7,7,7
885,53,21,5,5
592,16,16,0,0
494,46,14,14,6
587,11,11,11,3
320,0,0,0,0
537,25,25,9,1
499,51,19,3,3
440,56,24,8,0
634,58,26,10,2
838,6,6,6,6
62,62,30,14,6
130,2,2,2,2
997,37,5,5,5
808,40,8,8,0
216,24,24,8,0
12,12,12,12,4
600,24,24,8,0
866,34,2,2,2
786,18,18,2,2
179,51,19,3,3
46,46,14,14,6
430,46,14,14,6
433,49,17,1,1
869,37,5,5,5
238,46,14,14,6
897,1,1,1,1
143,15,15,15,7
497,49,17,1,1
709,5,5,5,5
335,15,15,15,7
634,58,26,10,2
142,14,14,14,6
870,38,6,6,6
765,61,29,13,5
116,52,20,4,4
915,19,19,3,3
826,58,26,10,2
833,1,1,1,1
51,51,19,3,3
629,53,21,5,5
367,47,15,15,7
818,50,18,2,2
29,29,29,13,5
810,42,10,10,2
619,43,11,11,3
699,59,27,11,3
914,18,18,2,2
89,25,25,9,1
149,21,21,5,5
424,40,8,8,0
157,29,29,13,5
457,9,9,9,1
